Row ID;Order ID;OrderDate;OrderPriority;OrderQuantity;Sales;Sales2;Discount;ShipMode;Profit;UnitPrice;ShippingCost;CustomerName;Province;Region;CustomerSegment;ProductCategory;ProductSubCategory;ProductName;ProductContainer;ProductBaseMargin;ShipDate
25;135;20-10-2018;Not Specified;25;125,85;125,85;0,09;Regular Air;-469,25;4,98;4,62;Anne Pryor;Quebec;Quebec;Consumer;Technology;Computer Peripherals;"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";Small Pack;0,64;22-10-2018
26;166;11-09-2018;High;10;567,936;567,936;0,02;Express Air;-506,093;65,99;8,99;Valerie Takahito;Manitoba;Prarie;Consumer;Technology;Telephones and Communication;i270;Small Box;0,55;13-09-2018
27;193;07-08-2017;Critical;14;174,89;174,89;0,06;Regular Air;-117,04;12,44;6,27;Justin Hirsh;Quebec;Quebec;Consumer;Office Supplies;Storage & Organization;Eldon Simplefile® Box Office®;Medium Box;0,57;09-08-2017
28;194;04-04-2019;Medium;49;329,03;329,03;0,1;Regular Air;-257,25;7,28;7,98;Maria Zettner;Alberta;West;Corporate;Furniture;Office Furnishings;Master Caster Door Stop, Large Neon Orange;Wrap Bag;0,42;06-04-2019
29;194;04-04-2019;Medium;6;20,19;20,19;0,04;Regular Air;-93,44;3,14;1,92;Maria Zettner;Alberta;West;Corporate;Office Supplies;Scissors, Rulers and Trimmers;Serrated Blade or Curved Handle Hand Letter Openers;Wrap Bag;0,84;06-04-2019
30;195;27-12-2017;Medium;34;1315,74;1315,74;0,03;Regular Air;180,87;36,55;13,89;Brad Thomas;Yukon;Yukon;Home Office;Office Supplies;Pens & Art Supplies;Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set;Wrap Bag;0,41;29-12-2017
31;197;06-04-2018;High;23;310,52;310,52;0,01;Regular Air;-46,78;12,98;3,14;Penelope Sewall;Manitoba;Prarie;Home Office;Office Supplies;Scissors, Rulers and Trimmers;"Acme® 8"" Straight Scissors";Small Pack;0,6;08-04-2018
32;224;17-06-2016;Not Specified;25;184,86;184,86;0,09;Regular Air;-93,95;7,38;5,21;Bart Folk;Yukon;Yukon;Corporate;Furniture;Office Furnishings;Eldon® Expressions™ Wood Desk Accessories, Oak;Small Box;0,56;18-06-2016
33;224;17-06-2016;Not Specified;44;267,85;267,85;0,04;Regular Air;-145,43;5,98;5,15;Bart Folk;Yukon;Yukon;Corporate;Office Supplies;Paper;Xerox 193;Small Box;0,36;18-06-2016
34;224;17-06-2016;Not Specified;33;528,5;528,5;0,04;Regular Air;-229,92;15,42;10,68;Bart Folk;Yukon;Yukon;Corporate;Office Supplies;Storage & Organization;Decoflex Hanging Personal Folder File, Blue;Small Box;0,58;18-06-2016
35;225;24-05-2018;Critical;24;126,58;126,58;0,06;Regular Air;-61,73;5,58;0,7;Karen Ferguson;Quebec;Quebec;Home Office;Office Supplies;Pens & Art Supplies;Newell 314;Wrap Bag;0,6;25-05-2018
36;225;24-05-2018;Critical;1;23,7;23,7;0,05;Regular Air;-88,97;19,84;4,1;Karen Ferguson;Quebec;Quebec;Home Office;Office Supplies;Pens & Art Supplies;Prismacolor Color Pencil Set;Wrap Bag;0,44;26-05-2018
37;229;28-12-2017;Critical;43;586,11;586,11;0,11;Regular Air;38,44;12,64;4,98;Matt Abelman;Nova Scotia;Atlantic;Consumer;Furniture;Office Furnishings;Nu-Dell Executive Frame;Small Pack;0,48;30-12-2017
38;229;28-12-2017;Critical;24;599,1;599,1;0,02;Regular Air;-76,1835;24,92;12,98;Peter Fuller;Saskachewan;Prarie;Consumer;Office Supplies;Binders and Binder Accessories;GBC Standard Therm-A-Bind Covers;Small Box;0,39;29-12-2017
39;230;26-10-2017;Critical;47;2029,75;2029,75;0,06;Regular Air;240,37;43,98;8,99;Erin Creighton;Ontario;Ontario;Corporate;Office Supplies;Pens & Art Supplies;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;Small Pack;0,58;28-10-2017
40;230;26-10-2017;Critical;11;1118,396;1118,396;0,06;Regular Air;-592,333;125,99;8,08;Erin Creighton;Ontario;Ontario;Corporate;Technology;Telephones and Communication;StarTAC ST7762;Small Box;0,57;28-10-2017
41;231;28-09-2016;High;2;689,74;689,74;0,06;Regular Air;-570,84;363,25;19,99;Sean Braxton;Manitoba;Prarie;Small Business;Office Supplies;Appliances;Hoover WindTunnel™ Plus Canister Vacuum;Small Box;0,57;30-09-2016
42;258;28-12-2017;Critical;21;154,35;154,35;0;Regular Air;-171,14;6,48;8,74;Liz Willingham;Nova Scotia;Atlantic;Home Office;Office Supplies;Paper;Xerox 1984;Small Box;0,36;30-12-2017
43;258;28-12-2017;Critical;7;201,36;201,36;0;Delivery Truck;-364,4;20,98;53,03;Liz Willingham;Nova Scotia;Atlantic;Home Office;Office Supplies;Storage & Organization;Tennsco Lockers, Gray;Jumbo Drum;0,78;29-12-2017
44;258;28-12-2017;Critical;33;216,77;216,77;0,02;Regular Air;-135,108;6,54;5,27;Liz Willingham;Quebec;Quebec;Home Office;Office Supplies;Binders and Binder Accessories;Wilson Jones® Four-Pocket Poly Binders;Small Box;0,36;30-12-2017
45;261;28-06-2017;Medium;47;5677,609;5677,609;0,04;Regular Air;1300,786;140,99;4,2;Sonia Sunley;British Columbia;West;Small Business;Technology;Telephones and Communication;7160;Small Box;0,59;29-06-2017
46;263;16-05-2016;High;25;136,77;136,77;0,09;Regular Air;-216,252;5,4;7,78;Paul Lucas;Yukon;Yukon;Corporate;Office Supplies;Binders and Binder Accessories;3M Organizer Strips;Small Box;0,37;17-05-2016
47;290;05-01-2016;Not Specified;24;188,73;188,73;0,05;Regular Air;-112,48;7,64;5,83;Dorris Love;Quebec;Quebec;Home Office;Office Supplies;Paper;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";Wrap Bag;0,36;06-01-2016
48;292;12-01-2019;High;43;412,62;412,62;0,08;Regular Air;95,54;9,9;1,39;Valerie Takahito;Saskachewan;Prarie;Consumer;Office Supplies;Envelopes;#6 3/4 Gummed Flap White Envelopes;Small Box;0,37;13-01-2019
49;293;01-10-2019;High;49;10123,02;10123,02;0,07;Delivery Truck;377,81;208,16;68,02;Barry French;Nunavut;Nunavut;Consumer;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Jumbo Drum;0,58;02-10-2019
50;293;01-10-2019;High;27;244,57;244,57;0,01;Regular Air;-33,2925;8,69;2,99;Barry French;Nunavut;Nunavut;Consumer;Office Supplies;Binders and Binder Accessories;Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl;Small Box;0,39;03-10-2019
51;294;15-07-2017;Medium;35;6375,28;6375,28;0,06;Regular Air;409,02;193,17;19,99;Sanjit Chand;British Columbia;West;Home Office;Office Supplies;Storage & Organization;Fellowes Staxonsteel® Drawer Files;Small Box;0,71;16-07-2017
52;322;18-03-2019;Critical;20;2634,8555;2634,8555;0,08;Regular Air;-122,24;155,99;8,08;Giulietta Weimer;British Columbia;West;Corporate;Technology;Telephones and Communication;I888 World Phone;Small Box;0,6;20-03-2019
53;322;18-03-2019;Critical;46;281;281;0,1;Regular Air;-371,59;6,48;10,05;Giulietta Weimer;British Columbia;West;Corporate;Office Supplies;Paper;Xerox 1997;Small Box;0,37;20-03-2019
54;323;25-03-2016;Critical;20;108,09;108,09;0,07;Regular Air;-54,24;5,68;1,39;Dario Medina;Yukon;Yukon;Small Business;Office Supplies;Envelopes;Staples Standard Envelopes;Small Box;0,38;27-03-2016
55;323;25-03-2016;Critical;2;55,34;55,34;0,06;Regular Air;-111,24;22,84;11,54;Dario Medina;Yukon;Yukon;Small Business;Office Supplies;Paper;Xerox 1964;Small Box;0,39;27-03-2016
56;324;19-03-2019;Critical;25;3872,634;3872,634;0,02;Regular Air;287,332;179,99;13,99;Frank Gastineau;Saskachewan;Prarie;Small Business;Technology;Telephones and Communication;VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine;Medium Box;0,57;21-03-2019
57;325;16-10-2017;Low;9;884,1275;884,1275;0,06;Regular Air;-558,706;115,99;4,23;Craig Yedwab;Nova Scotia;Atlantic;Corporate;Technology;Telephones and Communication;282;Small Box;0,56;20-10-2017
58;326;03-06-2018;High;34;218,27;218,27;0,03;Regular Air;-124,137;5,99;4,92;Michelle Tran;Quebec;Quebec;Consumer;Office Supplies;Binders and Binder Accessories;DXL™ Angle-View Binders with Locking Rings, Black;Small Box;0,38;04-06-2018
59;326;03-06-2018;High;17;100,95;100,95;0,05;Regular Air;-101,3;5,81;3,37;Michelle Tran;Quebec;Quebec;Consumer;Office Supplies;Rubber Bands;Advantus Push Pins, Aluminum Head;Wrap Bag;0,54;04-06-2018
60;353;30-12-2017;Low;21;46,94;46,94;0,02;Regular Air;-76,12;2,21;1;Dean Percer;Yukon;Yukon;Home Office;Office Supplies;Pens & Art Supplies;Quartet Alpha® White Chalk, 12/Pack;Wrap Bag;0,38;01-04-2018
61;355;13-06-2016;Low;16;1239,6315;1239,6315;0;Regular Air;-552,546;85,99;0,99;Henry MacAllister;Ontario;Ontario;Small Business;Technology;Telephones and Communication;Accessory4;Wrap Bag;0,85;18-06-2016
62;358;19-09-2017;High;33;1640,9;1640,9;0,02;Delivery Truck;-1408,06;48,58;54,11;Ricardo Block;Alberta;West;Corporate;Furniture;Bookcases;O'Sullivan 2-Shelf Heavy-Duty Bookcases;Jumbo Box;0,69;21-09-2017
63;358;19-09-2017;High;33;1235,87;1235,87;0,07;Regular Air;-110,73;39,48;1,99;Ricardo Block;Alberta;West;Corporate;Technology;Computer Peripherals;80 Minute CD-R Spindle, 100/Pack - Staples;Small Pack;0,54;19-09-2017
64;359;18-12-2016;Medium;30;3659,66;3659,66;0,08;Delivery Truck;-560,38;124,49;51,94;Cari Sayre;Alberta;West;Corporate;Furniture;Tables;Bevis 36 x 72 Conference Tables;Jumbo Box;0,63;19-12-2016
65;384;02-03-2019;Low;50;7666,04;7666,04;0,02;Delivery Truck;-1880,84;146,05;80,2;Sonia Cooley;Alberta;West;Corporate;Furniture;Tables;BPI Conference Tables;Jumbo Box;0,71;09-03-2019
66;386;24-01-2018;High;4;14,96;14,96;0,02;Regular Air;-80,03;3,69;0,5;Tracy Poddar;Ontario;Ontario;Corporate;Office Supplies;Labels;Avery 501;Small Box;0,38;26-01-2018
67;386;24-01-2018;High;4;15,69;15,69;0,09;Regular Air;-81,59;3,85;0,7;Tracy Poddar;Ontario;Ontario;Corporate;Office Supplies;Pens & Art Supplies;Avery Hi-Liter Pen Style Six-Color Fluorescent Set;Wrap Bag;0,44;26-01-2018
68;388;15-12-2019;Not Specified;46;517,93;517,93;0,06;Regular Air;-174,73;11,7;6,96;Jennifer Halladay;Ontario;Ontario;Home Office;Office Supplies;Appliances;Harmony HEPA Quiet Air Purifiers;Medium Box;0,5;18-12-2019
69;416;26-09-2017;Low;20;1156,6715;1156,6715;0,01;Express Air;-291,476;65,99;7,69;Stuart Calhoun;Ontario;Ontario;Consumer;Technology;Telephones and Communication;5190;Small Box;0,59;01-10-2017
70;417;05-02-2016;Medium;39;15260,78;15260,78;0,07;Delivery Truck;8354,88;500,98;28,14;Robert Barroso;Yukon;Yukon;Small Business;Technology;Office Machines;Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;Jumbo Drum;0,38;06-02-2016
71;417;05-02-2016;Medium;3;540,41;540,41;0,1;Regular Air;-250,98;178,47;19,99;Robert Barroso;Yukon;Yukon;Small Business;Office Supplies;Storage & Organization;Hot File® 7-Pocket, Floor Stand;Small Box;0,55;07-02-2016
72;420;30-10-2018;Not Specified;8;43,29;43,29;0,09;Regular Air;-100,69;4,98;4,86;Tony Sayre;Alberta;West;Small Business;Office Supplies;Paper;Xerox 190;Small Box;0,38;30-10-2018
73;420;30-10-2018;Not Specified;6;41,7;41,7;0,03;Regular Air;-94,56;5,78;5,37;Tony Sayre;Alberta;West;Small Business;Office Supplies;Paper;Xerox 1950;Small Box;0,36;01-11-2018
74;448;20-08-2018;Medium;22;762,4005;1162,4005;0,09;Regular Air;-664,625;65,99;19,99;Brad Thomas;Yukon;Yukon;Corporate;Technology;Telephones and Communication;iDENi80s;Small Box;0,59;22-08-2018
75;449;19-07-2018;High;45;356,7;356,7;0,02;Regular Air;-108,97;7,38;5,21;Candace McMahon;Ontario;Ontario;Corporate;Furniture;Office Furnishings;Eldon® Expressions™ Wood Desk Accessories, Oak;Small Box;0,56;21-07-2018
76;450;04-03-2018;Not Specified;29;600,78;1000,78;0,05;Express Air;29,33;34,58;8,99;Matt Collins;British Columbia;West;Consumer;Office Supplies;Pens & Art Supplies;Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;Small Pack;0,56;05-03-2018
77;450;04-03-2018;Not Specified;35;543,72;543,72;0,05;Regular Air;-291,13;15,7;11,25;Matt Collins;British Columbia;West;Consumer;Office Supplies;Storage & Organization;Hanging Personal Folder File;Small Box;0,6;06-03-2018
78;454;26-12-2018;Low;42;234,2;234,2;0,09;Regular Air;-23,78;6,08;1,82;Darrin Martin;Ontario;Ontario;Small Business;Office Supplies;Rubber Bands;Staples Bulk Pack Metal Binder Clips;Wrap Bag;0,35;28-12-2018
79;481;07-10-2019;High;44;4509,3775;4509,3775;0,01;Regular Air;1046,257;115,99;5,26;Art Foster;British Columbia;West;Home Office;Technology;Telephones and Communication;636;Small Box;0,57;09-10-2019
80;483;10-07-2018;High;30;4565,7595;4965,7595;0,08;Regular Air;818,971;195,99;3,99;Clay Rozendal;Nunavut;Nunavut;Corporate;Technology;Telephones and Communication;R380;Small Box;0,58;12-07-2018
81;487;17-08-2019;Critical;19;210,4;210,4;0,07;Regular Air;-98,96;10,89;4,5;Valerie Dominguez;Manitoba;Prarie;Corporate;Office Supplies;Appliances;Belkin 6 Outlet Metallic Surge Strip;Small Box;0,59;18-08-2019
82;512;19-05-2018;Low;6;909,53;1309,53;0,06;Regular Air;-40,82;218,08;18,06;Sam Craven;Saskachewan;Prarie;Home Office;Furniture;Chairs & Chairmats;Lifetime Advantage™ Folding Chairs, 4/Carton;Large Box;0,57;19-05-2018
83;512;19-05-2018;Low;48;806,37;806,37;0,01;Express Air;-246,4;15,42;10,68;Sam Craven;Saskachewan;Prarie;Home Office;Office Supplies;Storage & Organization;Decoflex Hanging Personal Folder File, Blue;Small Box;0,58;21-05-2018
84;513;30-04-2018;High;33;5037,92;5437,92;0;Delivery Truck;-744,57;150,89;60,2;Arthur Prichep;Ontario;Ontario;Home Office;Furniture;Chairs & Chairmats;Global Leather & Oak Executive Chair, Burgundy;Jumbo Drum;0,77;30-04-2018
85;515;28-08-2017;Not Specified;19;394,27;394,27;0,08;Regular Air;-49,06;21,78;5,94;Carlos Soltero;Nunavut;Nunavut;Consumer;Office Supplies;Appliances;Holmes HEPA Air Purifier;Medium Box;0,5;30-08-2017
86;515;28-08-2017;Not Specified;21;146,69;146,69;0,05;Regular Air;-55,57;6,64;4,95;Carlos Soltero;Nunavut;Nunavut;Consumer;Furniture;Office Furnishings;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Small Pack;0,37;30-08-2017
87;548;20-09-2016;Critical;41;129,49;129,49;0,04;Regular Air;-43,98;3,08;0,99;Sung Chung;Saskachewan;Prarie;Home Office;Office Supplies;Labels;Avery 481;Small Box;0,37;21-09-2016
88;548;20-09-2016;Critical;29;202,95;202,95;0,02;Regular Air;-130,64;6,48;5,9;Sung Chung;Saskachewan;Prarie;Home Office;Office Supplies;Paper;Xerox 1976;Small Box;0,37;21-09-2016
89;548;20-09-2016;Critical;26;2753,1925;2753,1925;0,04;Regular Air;130,489;125,99;4,2;Sung Chung;Saskachewan;Prarie;Home Office;Technology;Telephones and Communication;V3682;Small Box;0,59;22-09-2016
90;549;12-07-2019;Critical;13;70,24;70,24;0,03;Regular Air;-139,75;4,98;7,44;Ken Brennan;Ontario;Ontario;Consumer;Office Supplies;Paper;Xerox 1922;Small Box;0,36;13-07-2019
91;549;12-07-2019;Critical;5;40,75;40,75;0,05;Regular Air;-107,57;6,48;8,74;Ken Brennan;Ontario;Ontario;Consumer;Office Supplies;Paper;Xerox 1984;Small Box;0,36;13-07-2019
92;549;12-07-2019;Critical;30;1150,88;1150,88;0,05;Express Air;-991,56;38,94;35;Ken Brennan;Ontario;Ontario;Consumer;Office Supplies;Storage & Organization;Eldon Base for stackable storage shelf, platinum;Large Box;0,8;12-07-2019
93;610;01-08-2018;Critical;38;283,65;283,65;0,02;Express Air;-109,21;6,68;5,41;Joe Elijah;Manitoba;Prarie;Home Office;Office Supplies;Paper;Xerox 195;Small Box;0,37;03-08-2018
94;611;26-01-2017;Critical;47;840,04;840,04;0,04;Regular Air;-211,27;17,7;9,47;Arthur Prichep;Ontario;Ontario;Home Office;Office Supplies;Storage & Organization;Portfile® Personal File Boxes;Small Box;0,59;28-01-2017
95;612;20-10-2019;Medium;50;262,87;262,87;0,1;Regular Air;-246,29;5,28;6,26;Sheri Gordon;Manitoba;Prarie;Corporate;Office Supplies;Paper;Xerox 1928;Small Box;0,4;22-10-2019
96;612;20-10-2019;Medium;43;2531,0875;2531,0875;0,01;Regular Air;501,676;65,99;2,5;Sheri Gordon;Manitoba;Prarie;Corporate;Technology;Telephones and Communication;6190;Small Box;0,55;22-10-2019
97;613;17-06-2018;High;12;93,54;93,54;0,03;Regular Air;-134,0385;7,3;7,72;Carl Jackson;Nunavut;Nunavut;Corporate;Office Supplies;Binders and Binder Accessories;Angle-D Binders with Locking Rings, Label Holders;Small Box;0,38;17-06-2018
98;613;17-06-2018;High;22;905,08;905,08;0,09;Regular Air;47,7;42,76;6,22;Carl Jackson;Nunavut;Nunavut;Corporate;Office Supplies;Storage & Organization;SAFCO Mobile Desk Side File, Wire Frame;Small Box;;18-06-2018
99;614;30-11-2019;High;41;628,22;628,22;0;Regular Air;103,81;14,34;5;Dave Hallsten;Quebec;Quebec;Corporate;Furniture;Office Furnishings;Nu-Dell Leatherette Frames;Small Pack;0,49;02-12-2019
100;614;30-11-2019;High;24;3366,1;3366,1;0,07;Delivery Truck;-395,317125;138,75;52,42;Dave Hallsten;Quebec;Quebec;Corporate;Furniture;Tables;Balt Split Level Computer Training Table;Jumbo Box;0,74;01-12-2019
101;640;22-01-2017;High;39;4913,69;4913,69;0,02;Delivery Truck;-1213,9;120,98;58,64;Tamara Chand;Ontario;Ontario;Consumer;Furniture;Bookcases;O'Sullivan Living Dimensions 2-Shelf Bookcases;Jumbo Box;0,75;23-01-2017
102;640;22-01-2017;High;24;464,77;464,77;0,01;Regular Air;-50,58;18,97;9,54;Tamara Chand;Ontario;Ontario;Consumer;Office Supplies;Paper;Xerox 1939;Small Box;0,37;23-01-2017
103;643;24-03-2018;High;21;2381,82;2781,82;0,07;Express Air;-775,26;138,14;35;Monica Federle;Nunavut;Nunavut;Corporate;Office Supplies;Storage & Organization;SAFCO Commercial Wire Shelving, Black;Large Box;;25-03-2018
104;644;30-04-2019;Critical;5;1679,58;1679,58;0,01;Delivery Truck;-231,92;320,98;58,95;Bill Eplett;Quebec;Quebec;Corporate;Furniture;Chairs & Chairmats;Hon 4070 Series Pagoda™ Round Back Stacking Chairs;Jumbo Drum;0,57;01-05-2019
105;645;02-12-2016;High;42;557,85;557,85;0,05;Regular Air;9,4455;12,95;4,98;Harold Engle;Prince Edward Island;Atlantic;Consumer;Office Supplies;Binders and Binder Accessories;GBC Binding covers;Small Box;0,4;04-12-2016
106;646;21-11-2016;High;18;173,2;173,2;0,01;Regular Air;-90,9;9,31;3,98;Duane Huffman;Ontario;Ontario;Small Business;Office Supplies;Scissors, Rulers and Trimmers;Acme® Forged Steel Scissors with Black Enamel Handles;Small Pack;0,56;22-11-2016
107;678;26-02-2017;Low;44;228,41;228,41;0,07;Regular Air;-306,36;4,98;8,33;Dorothy Badders;Nunavut;Nunavut;Home Office;Office Supplies;Paper;Xerox 198;Small Box;0,38;26-02-2017
108;706;08-09-2018;Critical;42;75,14;75,14;0,05;Regular Air;-79,18;1,76;0,7;Sarah Jordon;Nova Scotia;Atlantic;Consumer;Office Supplies;Pens & Art Supplies;Newell 326;Wrap Bag;0,56;10-09-2018
109;710;01-01-2017;Low;42;161,77;161,77;0,01;Regular Air;-230,374;3,58;5,47;Susan MacKendrick;Manitoba;Prarie;Corporate;Office Supplies;Binders and Binder Accessories;Avery Poly Binder Pockets;Small Box;0,37;05-01-2017
110;710;01-01-2017;Low;11;447,09;447,09;0,09;Regular Air;29,03;41,32;8,66;Susan MacKendrick;Manitoba;Prarie;Corporate;Furniture;Office Furnishings;Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting;Medium Box;0,76;03-01-2017
111;710;01-01-2017;Low;29;4192,88;4192,88;0,02;Delivery Truck;351,32;145,45;17,85;Susan MacKendrick;Manitoba;Prarie;Corporate;Technology;Office Machines;Panasonic KX-P1150 Dot Matrix Printer;Jumbo Drum;0,56;05-01-2017
112;738;01-03-2017;Not Specified;7;560,51;560,51;0,04;Regular Air;-47,4;80,98;4,5;Caroline Jumper;Quebec;Quebec;Corporate;Office Supplies;Appliances;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;Small Box;0,59;03-03-2017
113;738;01-03-2017;Not Specified;31;189,95;189,95;0,08;Regular Air;-136,68;6,48;5,14;Caroline Jumper;Quebec;Quebec;Corporate;Office Supplies;Paper;Xerox 23;Small Box;0,37;02-03-2017
114;740;15-07-2018;Medium;6;28,01;28,01;0,09;Regular Air;-76,54;4,98;0,49;Thomas Boland;Ontario;Ontario;Corporate;Office Supplies;Labels;Avery White Multi-Purpose Labels;Small Box;0,39;15-07-2018
